include,label,title,pathology_category,assigned_groups,structure_id,rung_tag,rung_type,source_route,space_group,radiation,R1,wR2,Rint,completeness,alerts_A,alerts_B,alerts_C,catastrophic,cif_path,fcf_available,suggested_label
,,,Data quality — incomplete data,,nu2017,01_complete_88,data-degradation,synthetic-degraded,P 21/c,Cu,,,0.000,88.1%,1,1,7,,Pipeline/Good_Structures_and_data/nu2017/ladder/rung_01_complete_88/I.cif,yes,nu2017_complete88
,,,Data quality — incomplete data,,nu2017,02_complete_80,data-degradation,synthetic-degraded,P 21/c,Cu,,,0.000,80.0%,1,1,9,,Pipeline/Good_Structures_and_data/nu2017/ladder/rung_02_complete_80/I.cif,yes,nu2017_complete80
,,,Data quality — systematic gaps (3DED geometry),,nu2017,03_cone_3ded,data-degradation,synthetic-degraded,P 21/c,Cu,,,0.000,82.1%,1,1,4,,Pipeline/Good_Structures_and_data/nu2017/ladder/rung_03_cone_3ded/I.cif,yes,nu2017_cone3ded
,,,Data quality — low-angle wedge missing,,nu2017,04_wedge_lowang,data-degradation,synthetic-degraded,P 21/c,Cu,,,0.000,66.5%,7,5,17,,Pipeline/Good_Structures_and_data/nu2017/ladder/rung_04_wedge_lowang/I.cif,yes,nu2017_wedgelowang
,,,Data quality — weak data,,nu2017,05_weak,data-degradation,synthetic-degraded,P 21/c,Cu,,,0.000,99.8%,0,0,4,,Pipeline/Good_Structures_and_data/nu2017/ladder/rung_05_weak/I.cif,yes,nu2017_weak
,,,Data quality — absorption error,,nu2017,06_absorption,data-degradation,synthetic-degraded,P 21/c,Cu,,,0.000,99.8%,0,1,5,,Pipeline/Good_Structures_and_data/nu2017/ladder/rung_06_absorption/I.cif,yes,nu2017_absorption
,,,Reference (no degradation),,nx2034,00_reference,data-degradation,synthetic-degraded,P 21/c,Cu,0.0462,0.1411,0.052,99.7%,4,2,7,,Pipeline/Good_Structures_and_data/nx2034/ladder/rung_00_reference/h200.cif,yes,nx2034_reference
,,,Data quality — incomplete data,,nx2034,01_complete_88,data-degradation,synthetic-degraded,P 21/c,Cu,0.0460,0.1408,0.052,87.6%,5,3,7,,Pipeline/Good_Structures_and_data/nx2034/ladder/rung_01_complete_88/h200.cif,yes,nx2034_complete88
,,,Data quality — incomplete data,,nx2034,02_complete_80,data-degradation,synthetic-degraded,P 21/c,Cu,0.0472,0.1461,0.052,79.1%,5,3,9,,Pipeline/Good_Structures_and_data/nx2034/ladder/rung_02_complete_80/h200.cif,yes,nx2034_complete80
,,,Data quality — systematic gaps (3DED geometry),,nx2034,03_cone_3ded,data-degradation,synthetic-degraded,P 21/c,Cu,0.0453,0.1418,0.051,81.5%,5,3,7,,Pipeline/Good_Structures_and_data/nx2034/ladder/rung_03_cone_3ded/h200.cif,yes,nx2034_cone3ded
,,,Data quality — low-angle wedge missing,,nx2034,04_wedge_lowang,data-degradation,synthetic-degraded,P 21/c,Cu,0.0455,0.1238,0.054,99.2%,4,0,7,,Pipeline/Good_Structures_and_data/nx2034/ladder/rung_04_wedge_lowang/h200.cif,yes,nx2034_wedgelowang
,,,Data quality — weak data,,nx2034,05_weak,data-degradation,synthetic-degraded,P 21/c,Cu,0.0705,0.1475,0.052,99.7%,4,0,11,,Pipeline/Good_Structures_and_data/nx2034/ladder/rung_05_weak/h200.cif,yes,nx2034_weak
,,,Data quality — absorption error,,nx2034,06_absorption,data-degradation,synthetic-degraded,P 21/c,Cu,0.0567,0.1689,0.084,99.7%,4,1,8,,Pipeline/Good_Structures_and_data/nx2034/ladder/rung_06_absorption/h200.cif,yes,nx2034_absorption
,,,Reference (no degradation),,wm2328,00_reference,data-degradation,synthetic-degraded,P 21 21 21,Cu,0.0407,0.0955,0.051,99.0%,4,1,8,,Pipeline/Good_Structures_and_data/wm2328/ladder/rung_00_reference/I.cif,yes,wm2328_reference
,,,Data quality — incomplete data,,wm2328,01_complete_88,data-degradation,synthetic-degraded,P 21 21 21,Cu,0.0403,0.0943,0.051,87.0%,5,2,6,,Pipeline/Good_Structures_and_data/wm2328/ladder/rung_01_complete_88/I.cif,yes,wm2328_complete88
,,,Data quality — incomplete data,,wm2328,02_complete_80,data-degradation,synthetic-degraded,P 21 21 21,Cu,0.0398,0.0926,0.049,79.0%,5,2,8,,Pipeline/Good_Structures_and_data/wm2328/ladder/rung_02_complete_80/I.cif,yes,wm2328_complete80
,,,Data quality — systematic gaps (3DED geometry),,wm2328,03_cone_3ded,data-degradation,synthetic-degraded,P 21 21 21,Cu,0.0393,0.0925,0.051,81.0%,5,2,7,,Pipeline/Good_Structures_and_data/wm2328/ladder/rung_03_cone_3ded/I.cif,yes,wm2328_cone3ded
,,,Data quality — low-angle wedge missing,,wm2328,04_wedge_lowang,data-degradation,synthetic-degraded,P 21 21 21,Cu,0.0413,0.0970,0.054,99.0%,4,1,7,,Pipeline/Good_Structures_and_data/wm2328/ladder/rung_04_wedge_lowang/I.cif,yes,wm2328_wedgelowang
,,,Data quality — weak data,,wm2328,05_weak,data-degradation,synthetic-degraded,P 21 21 21,Cu,0.0362,0.0794,0.051,99.0%,4,1,8,,Pipeline/Good_Structures_and_data/wm2328/ladder/rung_05_weak/I.cif,yes,wm2328_weak
,,,Data quality — absorption error,,wm2328,06_absorption,data-degradation,synthetic-degraded,P 21 21 21,Cu,0.0599,0.1631,0.190,99.0%,4,1,7,,Pipeline/Good_Structures_and_data/wm2328/ladder/rung_06_absorption/I.cif,yes,wm2328_absorption
